1,耶和华,6971,创2:4
2,神,4198,创1:1
3,以色列,2702,创32:28
4,因为,2444,创2:3
5,儿子,2420,创4:17
6,没有,1755,创2:5
7,耶稣,1636,太1:1
8,自己,1508,创1:27
9,一切,1425,创1:22
10,时候,1378,创4:26
11,面前,1187,创2:19
12,大卫,1134,得4:17
13,知道,1098,创3:5
14,不可,1083,创2:17
15,什么,1047,创2:19
16,犹大,1017,创29:35
17,祭司,950,创14:18
18,出来,878,创1:9
19,摩西,870,出2:10
20,可以,851,创1:14
21,看见,848,创6:2
22,耶路撒冷,827,书10:1
23,百姓,825,创17:16
24,不要,807,创15:1
25,吩咐,795,创2:16
26,埃及,787,创12:10
27,仆人,770,创14:15
28,众人,738,创11:9
29,不是,736,创18:25
30,如此,709,创9:5
31,听见,703,创3:8
32,弟兄,698,创9:5
33,所以,693,创10:9
34,于是,667,创1:12
35,告诉,666,创3:11
36,利亚,665,创22:2
37,起来,649,创2:5
38,直到,629,创3:19
39,子孙,628,创10:21
40,以利,611,创10:4
41,不能,610,创13:6
42,一样,585,创9:3
43,基督,583,太1:1
44,日子,568,创1:14
45,中间,551,创10:12
46,已经,546,创2:2
47,地上,543,创1:15
48,先知,522,创20:7
49,现在,490,创3:22
50,那时,483,创4:26
51,扫罗,466,创36:37
52,父亲,464,创9:18
53,雅各,459,创25:26
54,并且,452,创2:12
55,永远,439,创3:22
56,身上,437,创2:22
57,心里,436,创8:21
58,攻击,429,出1:10
59,智慧,428,创3:6
60,荣耀,422,创31:1
61,这里,419,创9:10
62,回答,419,创23:5
63,临到,408,创19:19
64,地方,404,创10:30
65,赐给,403,创1:29
66,洁净,400,创7:2
67,离开,396,创2:24
68,怎样,392,创2:19
69,平安,391,创12:13
70,律法,387,出13:9
71,支派,385,创10:32
72,亚伯,380,创4:2
73,利未,380,创29:34
74,许多,376,创12:16
75,门徒,375,王上20:35
76,原文,369,创13:8
77,来到,367,创6:13
78,打发,366,创3:23
79,亚伦,364,创35:8
80,那些,358,创7:23
81,好像,358,创40:10
82,一同,356,创17:26
83,仇敌,354,创22:17
84,个人,352,创18:2
85,其中,348,创18:24
86,妇人,338,创12:11
87,这事,336,创3:14
88,巴比伦,325,王下17:24
89,乃是,324,创1:27
90,声音,323,创3:8
91,今日,323,创19:5
92,首领,323,出2:14
93,天上,321,创1:14
94,列祖,319,创15:15
95,旷野,318,创14:6
96,所说,316,创19:21
97,所罗门,316,撒下5:14
98,出去,314,创3:24
99,所有,312,创3:1
100,约瑟,307,创30:24
101,非利士,306,创10:14
102,女儿,305,创6:1
103,恶人,305,创18:25
104,两个,302,创1:16
105,不再,294,创4:12
106,法老,293,创12:15
107,衣服,291,创3:21
108,亚比,287,创10:28
109,不得,286,创27:12
110,脱离,286,创32:11
111,外邦,286,创35:2
112,书亚,285,创25:2
113,起誓,282,创14:22
114,二十,281,创6:3
115,万军,278,撒上1:3
116,公义,276,创18:25
117,儿女,273,创3:16
118,审判,271,创18:25
119,无论,270,创9:5
120,说话,269,创4:8
121,十二,266,创5:8
122,亚伯拉罕,263,创17:5
123,拉罕,263,创17:5
124,放在,259,创9:13
125,一只,258,创6:14
126,耶利,258,民22:1
127,石头,256,创11:3
128,这话,256,创18:10
129,犹太,255,赛7:6
130,如同,254,创9:3
131,居民,252,创19:25
132,聚集,252,创29:3
133,按着,251,创1:26
134,各人,251,创9:5
135,士人,251,创10:14
136,以利亚,250,出6:23
137,孩子,248,创11:30
138,手中,247,创5:29
139,葡萄,247,创9:20
140,以后,247,创9:28
141,祷告,247,创20:7
142,大人,247,民2:3
143,听从,244,创3:17
144,使者,244,创16:7
145,罪孽,241,创15:16
146,成为,239,创2:24
147,从前,239,创13:3
148,不知,238,创4:9
149,约书亚,236,出17:9
150,亚撒,235,出6:23
151,只是,233,创2:17
152,女子,232,创6:2
153,见证,231,创31:50
154,指着,229,创21:23
155,安息,226,创2:2
156,坐在,226,创18:1
157,列国,226,申8:20
158,城邑,225,创13:12
159,亚哈,225,撒下23:34
160,那人,224,创2:15
161,或是,224,创26:11
162,进入,223,创6:18
163,彼此,221,创3:15
164,那日,220,创7:13
165,上来,220,创24:16
166,争战,220,出1:10
167,建造,219,创4:17
168,以法,219,创25:4
169,因此,218,创2:24
170,手里,216,创4:11
171,银子,215,创17:12
172,保罗,213,徒13:7
173,应当,212,创9:26
174,摩押,212,创19:37
175,妻子,211,创2:24
176,惧怕,211,创9:2
177,圣灵,211,民27:18
178,后裔,210,创3:15
179,意思,210,创4:1
180,应许,210,创18:19
181,如今,207,创4:14
182,还有,207,创19:12
183,基列,205,创14:5
184,交给,205,创18:7
185,言语,204,创11:1
186,作为,204,创20:16
187,帮助,203,创2:18
188,牲畜,202,创1:24
189,生命,200,创1:20
190,为什么,200,创4:6
191,敬畏,200,创22:12
192,赎罪,199,出29:14
193,羊羔,198,创21:28
194,四围,198,创23:17
195,认识,198,创29:5
196,慈爱,197,创19:19
197,不洁,196,创7:2
198,头上,196,创23:9
199,犹太人,196,太2:2
200,免得,194,创3:3
201,为何,194,创21:17
202,拯救,194,创45:7
203,欢喜,194,出4:14
204,以法莲,193,创41:52
205,跟随,192,创24:32
206,人子,192,民23:19
207,至于,191,创1:30
208,雅悯,190,创35:18
209,长老,188,创50:7
210,产业,187,创21:10
211,母亲,187,创21:21
212,必将,187,创28:22
213,上去,186,创19:19
214,彼得,186,太4:18
215,回来,185,创8:12
216,偶像,185,出20:4
217,主人,184,创24:9
218,经过,183,创12:6
219,便雅悯,183,创35:18
220,喜悦,182,创48:17
221,食物,181,创1:29
222,记念,181,创8:1
223,约旦,181,创13:10
224,天使,181,创19:1
225,教训,181,出18:20
226,帐幕,181,出25:9
227,会众,180,出12:3
228,拿单,180,士18:30
229,亚兰,179,创10:22
230,差遣,179,创24:7
231,果子,178,创1:11
232,里面,178,创6:3
233,眼前,178,创6:8
234,迦勒,178,创11:28
235,约旦河,178,创13:10
236,大王,176,书10:28
237,以为,175,创19:14
238,发怒,174,创4:5
239,三十,174,创5:3
240,居住,174,创10:5
241,房屋,174,创24:31
242,遵行,173,出19:8
243,锡安,173,撒下5:7
244,城里,172,创18:24
245,约拿,172,士18:30
246,复活,170,王下8:5
247,献给,169,创4:3
248,迦南,169,创9:18
249,丈夫,168,创3:6
250,咒诅,168,创3:14
251,君王,168,创17:6
252,赞美,168,创29:35
253,变为,168,出4:4
254,一百,166,创5:3
255,然而,166,创6:3
256,剩下,166,创32:8
257,勇士,166,申3:18
258,亚述,165,创2:14
259,兄弟,165,创4:2
