中文卷名,中文缩写,英文卷名,英文缩写
旧约
创世记,创,Genesis,Gen
出埃及记,出,Exodus,Exo
利未记,利,Levitius,Lev
民数记,民,Numbers,Num
申命记,申,Deuteronomy,Deu
约书亚记,书,Joshua,Jos
士师记,士,Judges,Jug
路得记,得,Ruth,Rut
撒母耳记上,撒上,1-Samuel,1Sa
撒母耳记下,撒下,2-Samuel,2Sa
列王纪上,王上,1-Kings,1Ki
列王纪下,王下,2-Kings,2Ki
历代志上,代上,1-Chronicles,1Ch
历代志下,代下,2-Chronicles,2Ch
以斯拉记,拉,Ezra,Ezr
尼希米记,尼,Nehemiah,Neh
以斯帖记,斯,Esther,Est
约伯记,伯,Job,Job
诗篇,诗,Psalms,Psm
箴言,箴,Proverbs,Pro
传道书,传,Ecclesiastes,Ecc
雅歌,歌,Song-of-Songs,Son
以赛亚书,赛,Isaiah,Isa
耶利米书,耶,Jeremiah,Jer
耶利米哀歌,哀,Lamentations,Lam
以西结书,结,Ezekiel,Eze
但以理书,但,Daniel,Dan
何西阿书,何,Hosea,Hos
约珥书,珥,Joel,Joe
阿摩司书,摩,Amos,Amo
俄巴底亚书,俄,Obadiah,Oba
约拿书,拿,Jonah,Jon
弥迦书,弥,Micah,Mic
那鸿书,鸿,Nahum,Nah
哈巴谷书,哈,Habakkuk,Hab
西番雅书,番,Zephaniah,Zep
哈该书,该,Haggai,Hag
撒迦利亚书,亚,Zechariah,Zec
玛拉基书,玛,Malachi,Mal
新约
马太福音,太,Matthew,Mat
马可福音,可,Mark,Mak
路加福音,路,Luke,Luk
约翰福音,约,John,Jhn
使徒行传,徒,Acts,Act
罗马书,罗,Romans,Rom
哥林多前书,林前,1-Corinthians,1Co
哥林多后书,林后,2-Corinthians,2Co
加拉太书,加,Galatians,Gal
以弗所书,弗,Ephesians,Eph
腓利比书,腓,Philippians,Phl
歌罗西书,西,Colossians,Col
帖撒罗尼迦前书,帖前,1-Thessalinians,1Ts
帖撒罗尼迦后书,帖后,2-Thessalinians,2Ts
提摩太前书,提前,1-Timothy,1Ti
提摩太后书,提后,2-Timothy,2Ti
提多书,多,Titus,Tit
腓利门书,门,Philemon,Phm
希伯来书,来,Hebrews,Heb
雅各书,雅,James,Jas
彼得前书,彼前,1-Peter,1Pe
彼得后书,彼后,2-Peter,2Pe
约翰壹书,约一,1-John,1Jn
约翰贰书,约二,2-John,2Jn
约翰参书,约三,3-John,3Jn
犹大书,犹,Jude,Jud
启示录,启,Revelation,Rev
